start_station_name,start_lat,start_lng,count_start_rides
Ashland Ave & Lake St,41.88592,-87.66717,2482
Blue Island Ave & 18th St,41.857556,-87.661535,2473
Western Ave & Division St,41.902893,-87.687275,2468
Clark St & 9th St (AMLI),41.870816,-87.631246,2461
Kimbark Ave & 53rd St,41.7994549,-87.5947779,2425
Canal St & Jackson Blvd,41.878125,-87.639968,2355
Sedgwick St & Schiller St,41.907626,-87.638566,2347
Damen Ave & Grand Ave,41.89239445,-87.67688513,2338
Lincoln Ave & Belle Plaine Ave,41.95600355,-87.68016145,2300
Benson Ave & Church St,42.048214,-87.683485,2295
Ashland Ave & Grand Ave,41.891072,-87.666611,2294
Clark St & Randolph St,41.88457623,-87.63188991,2294
Western Ave & Fillmore St,41.868563,-87.686234,2263
Logan Blvd & Elston Ave,41.929465,-87.684158,2260
Ravenswood Ave & Berteau Ave,41.957921,-87.673567,2252
Michigan Ave & Ida B Wells Dr,41.876243,-87.624426,2242
LaSalle St & Adams St,41.87934437,-87.63198522,2224
Seeley Ave & Roscoe St,41.943403,-87.679618,2211
Lincoln Ave & Waveland Ave,41.948797,-87.675278,2208
Leavitt St & Division St,41.902997,-87.683825,2197
Michigan Ave & 18th St,41.857813,-87.62455,2182
Southport Ave & Clybourn Ave,41.920771,-87.663712,2181
Albany Ave & Bloomingdale Ave,41.91402671,-87.70512646,2170
Wilton Ave & Diversey Pkwy*,41.932418,-87.652705,2159
Michigan Ave & 18th St,41.857926,-87.624336,2137
Lake Park Ave & 35th St,41.83127424,-87.60879919,2120
Artesian Ave & Hubbard St,41.8895,-87.688257,2090
Chicago Ave & Sheridan Rd,42.050491,-87.677821,2089
Leavitt St & Chicago Ave,41.895501,-87.682017,2049
Indiana Ave & 26th St,41.845687,-87.622481,2036
Calumet Ave & 35th St,41.831379,-87.618034,2032
Morgan Ave & 14th Pl,41.862378,-87.651062,2022
Wood St & Hubbard St,41.889899,-87.671473,2021
Morgan St & 18th St,41.858086,-87.651073,2016
Glenwood Ave & Morse Ave,42.00797192,-87.66550239,1986
California Ave & Cortez St,41.900363,-87.696704,1967
Ashland Ave & 13th St,41.865234,-87.666507,1963
Damen Ave & Clybourn Ave,41.931931,-87.677856,1956
Damen Ave & Charleston St,41.920082,-87.677855,1952
Lincoln Ave & Byron St,41.952372,-87.677296,1947
Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,1943
Damen Ave & Wellington Ave,41.93588,-87.67842,1943
Paulina St & 18th St,41.857901,-87.668745,1938
Spaulding Ave & Armitage Ave,41.91710803,-87.71022096,1935
Wentworth Ave & 33rd St,41.83452989,-87.63182298,1922
Kedzie Ave & Palmer Ct,41.921525,-87.707322,1917
Harper Ave & 59th St,41.78794281,-87.58831517,1916
Humboldt Blvd & Armitage Ave,41.91751339,-87.70180896,1903
Ogden Ave & Congress Pkwy,41.87501,-87.67328,1902
Stave St & Armitage Ave,41.917741,-87.691392,1897
Morgan St & 31st St,41.8378,-87.65114,1880
Wentworth Ave & Cermak Rd*,41.85321442,-87.6318723,1862
Fort Dearborn Dr & 31st St,41.838556,-87.608218,1822
California Ave & Francis Pl,41.91849115,-87.6974228,1821
Halsted St & 18th St,41.85750568,-87.64599144,1764
Streeter Dr/Grand Ave,41.892401,-87.612388,1729
Damen Ave & Sunnyside Ave,41.96325,-87.679258,1721
Damen Ave & Melrose Ave,41.9406,-87.6785,1718
Emerald Ave & 28th St,41.84358,-87.645368,1696
Damen Ave & Leland Ave,41.967094,-87.679028,1685
Field Museum,41.865312,-87.617867,1676
Clark St & Lunt Ave,42.00901118,-87.67411172,1668
Lincoln Ave & Addison St,41.946176,-87.673308,1662
Sheridan Rd & Loyola Ave,42.00104378,-87.66119824,1650
McCormick Place,41.85137517,-87.61883465,1649
Buckingham Fountain,41.869515,-87.6240634,1643
California Ave & Montrose Ave,41.961068,-87.695439,1634
Canal St & Harrison St,41.874255,-87.639573,1621
Western Ave & Congress Pkwy,41.87474885,-87.68644528,1601
California Ave & Altgeld St,41.92669,-87.697668,1600
Racine Ave & 18th St,41.858166,-87.656495,1596
Shields Ave & 28th Pl,41.842733,-87.635491,1575
Campbell Ave & Montrose Ave,41.961524,-87.691177,1564
Racine Ave & Randolph St,41.884069,-87.656853,1559
Leavitt St & Belmont Ave,41.939354,-87.683282,1548
Rockwell St & Eastwood Ave,41.96590014,-87.69363849,1546
Leavitt St & Lawrence Ave,41.968885,-87.684001,1540
Kingsbury St & Erie St,41.894714,-87.6417632,1530
Halsted St & 35th St,41.830661,-87.647172,1512
Western Ave & Roscoe St,41.943034,-87.687288,1490
May St & Taylor St,41.869478,-87.654238,1487
Southport Ave & Clark St,41.957081,-87.664199,1474
Clark St & Elmdale Ave,41.99086045,-87.66972363,1466
St. Louis Ave & Fullerton Ave,41.9248156,-87.71449506,1461
Winchester Ave & Elston Ave,41.92409085,-87.67646007,1460
Milwaukee Ave & Rockwell St,41.92019556,-87.6926592,1444
Damen Ave & Foster Ave,41.9756148,-87.67945904,1433
Wood St & Webster Ave,41.92105673,-87.67279744,1422
Sheridan Rd & Columbia Ave,42.004583,-87.661406,1414
California Ave & Division St,41.903029,-87.697474,1408
Elizabeth St & Fulton St,41.886827,-87.658937,1408
State St & 19th St,41.856594,-87.627542,1393
Damen Ave & Leland Ave,41.966946,-87.678893,1386
Greenview Ave & Jarvis Ave,42.015962,-87.66857,1385
Clinton St & 18th St,41.85795,-87.640826,1357
Oakley Ave & Irving Park Rd,41.95434085,-87.68607962,1352
Wentworth Ave & Cermak Rd,41.85308456,-87.6319313,1342
Greenwood Ave & 47th St,41.809835,-87.599383,1323
Wabash Ave & Cermak Rd,41.852619,-87.626488,1310
Elston Ave & Wabansia Ave,41.912919,-87.664169,1293
Talman Ave & Addison St,41.94663583,-87.69461476,1289
May St & Cullerton St,41.855136,-87.654127,1287
Halsted St & Archer Ave,41.847203,-87.646795,1283
Wallace St & 35th St,41.83070705,-87.64125533,1269
California Ave & North Ave,41.910044,-87.697167,1266
Racine Ave & 15th St,41.861267,-87.656625,1250
Claremont Ave & Hirsch St,41.907781,-87.685854,1242
Clark St & Columbia Ave,42.00445063,-87.6724024,1234
Calumet Ave & 21st St,41.85418425,-87.61915374,1214
Halsted St & 21st St,41.85377981,-87.64660299,1212
Elizabeth St & Fulton St,41.88671077,-87.6596573,1196
Leavitt St & North Ave,41.910533,-87.682308,1175
Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,1174
Southport Ave & Waveland Ave,41.94724,-87.66412,1172
Laflin St & Cullerton St,41.85491458,-87.66355991,1152
Sheridan Rd & Greenleaf Ave,42.01058656,-87.66241209,1138
Wentworth Ave & 35th St,41.830777,-87.632504,1133
Michigan Ave & Jackson Blvd,41.8777679,-87.624164,1119
Kimball Ave & Belmont Ave,41.93939395,-87.71206766,1092
Avondale Ave & Irving Park Rd,41.953393,-87.732002,1085
University Library (NU),42.052939,-87.673447,1077
Richmond St & Diversey Ave,41.93190197,-87.70119513,1070
Troy St & Elston Ave,41.94524357,-87.7066499,1069
Racine Ave & 18th St,41.8583996,-87.6564226,1051
Damen Ave & Cullerton St,41.85496652,-87.67569959,1041
Damen Ave & Madison St,41.88137,-87.67493,1011
